"anime_title","anime_premiere","anime_release","anime_nextair","anime_badge"
"My mental choices are completely interfering with my school romantic comedy.","10/9/2013 12:00:00 AM","10/1/2016 5:00:00 AM","",NA
"My Teen Romantic Comedy SNAFU","4/5/2013 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"My Teen Romantic Comedy SNAFU Climax","7/10/2020 12:00:00 AM","3/31/2020 9:00:00 PM","","Dubbed"
"Mysteria Friends","1/21/2019 12:00:00 AM","2/7/2019 5:00:00 PM","","Dubbed"
"Mysterious Girlfriend X","4/7/2012 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"Nagasarete Airantou","4/4/2007 12:00:00 AM","2/20/2020 4:00:00 PM","",NA
"NAKAIMO ~ My Little Sister is Among Them!","7/5/2012 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"NAMUAMIDABUTSU! -UTENA-","4/8/2019 12:00:00 AM","4/1/2019 5:00:00 PM","",NA
"NANA","4/5/2006 12:00:00 AM","4/15/2021 1:00:00 PM","","Dubbed"
"Natsu no Arashi!","4/5/2009 12:00:00 AM","11/21/2019 5:00:00 PM","","Exclusive"
"Natsuyuki Rendezvous","7/5/2012 12:00:00 AM","10/1/2016 5:00:00 AM","",NA
"Needless","7/2/2009 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"Negima!? (2006)","10/4/2006 12:00:00 AM","11/1/2018 4:00:00 PM","","Dubbed"
"No Game, No Life","4/9/2014 12:00:00 AM","7/28/2015 12:00:00 AM","","Dubbed"
"Nobunaga the Fool","1/6/2014 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"Non Non Biyori","10/7/2013 12:00:00 AM","10/1/2016 5:00:00 AM","",NA
"Non Non Biyori Nonstop","1/10/2021 12:00:00 AM","1/5/2020 6:00:00 PM","",NA
"Non Non Biyori Repeat","7/6/2015 12:00:00 AM","10/1/2016 5:00:00 AM","",NA
"Norn9","1/7/2016 12:00:00 AM","10/1/2016 5:00:00 AM","",NA
"Nurse Witch Komugi-chan R","1/9/2016 12:00:00 AM","10/1/2016 5:00:00 AM","",NA
"Nyankoi!","10/1/2009 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"O Maidens in Your Savage Season","7/5/2019 12:00:00 AM","6/28/2019 9:00:00 PM","","Dubbed"
"Okamikakushi ~ Masque of the Wolf","1/8/2010 12:00:00 AM","10/1/2016 5:00:00 AM","",NA
"Onigiri","4/6/2016 12:00:00 AM","10/1/2016 5:00:00 AM","","Exclusive"
"Onipan!","4/15/2022 12:00:00 AM","4/7/2022 1:00:00 PM","4/22/2022 3:00:00 AM","E2 In 2 Days"
"Oresuki - Are you the only one who loves me?","10/2/2019 12:00:00 AM","10/2/2019 4:30:00 PM","",NA
"Outbreak Company","10/3/2013 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"Outburst Dreamer Boys","10/4/2019 12:00:00 AM","9/30/2019 5:00:00 PM","",NA
"Pastel Memories","1/7/2019 12:00:00 AM","1/3/2019 6:00:00 PM","",NA
"Patlabor The Mobile Police (TV)","10/11/1989 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"Penguindrum","7/8/2011 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"The Perfect Insider","10/8/2015 12:00:00 AM","10/1/2016 5:00:00 AM","",NA
"The Pet Girl of Sakurasou","10/9/2012 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"Pet Shop of Horrors","3/1/1999 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"Peter Grill and the Philosopher's Time","7/10/2020 12:00:00 AM","7/2/2020 3:00:00 PM","","Dubbed"
"Phantasy Star Online 2: The Animation","1/7/2016 12:00:00 AM","10/1/2016 5:00:00 AM","",NA
"Photo Kano","4/5/2013 12:00:00 AM","10/1/2016 5:00:00 AM","",NA
"Place to Place","4/5/2012 12:00:00 AM","10/1/2016 5:00:00 AM","",NA
"Polyphonica","4/3/2007 12:00:00 AM","10/1/2016 5:00:00 AM","",NA
"Pop Team Epic","1/6/2018 12:00:00 AM","1/4/2018 7:00:00 PM","",NA
"Popotan","7/17/2003 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"The Price of Smiles","1/4/2019 12:00:00 AM","1/27/2019 6:00:00 PM","",NA
"Princess Principal","7/9/2017 12:00:00 AM","6/30/2017 5:00:00 PM","","Dubbed"
"Princess Resurrection","4/13/2007 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"Princess Tutu","8/16/2002 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"Problem children are coming from another world, aren't they?","1/11/2013 12:00:00 AM","11/16/2021 12:00:00 AM","","Dubbed"
"The Promised Neverland","1/9/2019 12:00:00 AM","1/9/2019 3:00:00 PM","",NA
"Psychic Squad","4/6/2008 12:00:00 AM","10/1/2016 5:00:00 AM","",NA
"Punch Line","4/9/2015 12:00:00 AM","10/1/2016 5:00:00 AM","",NA
"Queen's Blade Rebellion","4/3/2012 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"The Qwaser of Stigmata","1/10/2010 12:00:00 AM","10/1/2016 5:00:00 AM","",NA
"The Qwaser of Stigmata II","4/11/2011 12:00:00 AM","10/1/2016 5:00:00 AM","",NA
"RahXephon","1/21/2002 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"Re:Stage! Dream Days","7/7/2019 12:00:00 AM","6/28/2019 9:00:00 PM","","Exclusive"
"Real Girl","4/3/2018 12:00:00 AM","4/1/2018 5:00:00 AM","","Dubbed"
"Redo of Healer","1/13/2021 12:00:00 AM","1/5/2021 6:00:00 PM","",NA
"Reideen","3/3/2007 12:00:00 AM","10/1/2016 5:00:00 AM","",NA
"Release the Spyce","10/6/2018 12:00:00 AM","10/1/2018 7:30:00 PM","","Dubbed"
"Revue Starlight","7/14/2018 12:00:00 AM","7/13/2018 5:00:00 AM","","Dubbed"
"RIN-NE 2","4/9/2016 12:00:00 AM","10/1/2016 5:00:00 AM","",NA
"RIN-NE 3","4/8/2017 12:00:00 AM","4/1/2017 6:00:00 AM","","Exclusive"
"Rocket Girls","2/21/2007 12:00:00 AM","12/17/2018 6:00:00 PM","","Exclusive"
"Rozen Maiden","10/7/2004 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"Rozen Maiden ~ Zurückspulen","7/4/2013 12:00:00 AM","10/1/2016 5:00:00 AM","",NA
"Rozen Maiden: Träumend","10/20/2005 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"Run with the Wind","10/2/2018 12:00:00 AM","10/30/2018 8:00:00 PM","","Dubbed"
"Sagrada Reset","4/5/2017 12:00:00 AM","4/1/2017 12:00:00 AM","",NA
"Sagrada Reset Season 2","6/28/2017 12:00:00 AM","6/27/2017 10:00:00 PM","",NA
"Saiyuki","4/4/2000 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"Saiyuki RELOAD ZEROIN","1/6/2022 12:00:00 AM","12/21/2021 2:00:00 PM","","Dubbed"
"Sakura Trick","1/9/2014 12:00:00 AM","10/1/2016 5:00:00 AM","",NA
"Sakura Wars","4/8/2000 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"Samurai Bride","4/5/2013 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"Samurai Girls","10/3/2010 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"Samurai Harem","1/8/2009 12:00:00 AM","10/1/2016 5:00:00 AM","",NA
"Samurai Jam -Bakumatsu Rock-","7/2/2014 12:00:00 AM","10/1/2016 5:00:00 AM","",NA
"Samurai Punisher","5/18/1979 12:00:00 AM","11/1/2017 5:00:00 AM","","Exclusive"
"Sasami-san@Ganbaranai","1/11/2013 12:00:00 AM","10/1/2016 5:00:00 AM","",NA
"Say ""I Love You""","10/6/2012 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"School-Live!","7/9/2015 12:00:00 AM","7/9/2015 12:00:00 AM","","Dubbed"
"Scum's Wish","1/12/2017 12:00:00 AM","2/12/2021 1:00:00 PM","","Dubbed"
"Seitokai Yakuindomo","7/3/2010 12:00:00 AM","12/3/2019 5:00:00 PM","",NA
"Seitokai Yakuindomo Season 2","1/4/2014 12:00:00 AM","1/14/2020 3:00:00 PM","",NA
"Senryu Girl","4/5/2019 12:00:00 AM","4/1/2019 5:00:00 PM","","Dubbed"
"The Severing Crime Edge","4/4/2013 12:00:00 AM","10/1/2016 5:00:00 AM","",NA
"SHIKIZAKURA","10/10/2021 12:00:00 AM","10/6/2021 1:00:00 PM","","Dubbed"
"Shin Koihime Muso","10/5/2009 12:00:00 AM","10/1/2016 5:00:00 AM","",NA
"Shin Koihime Muso ~Otome Tairan~","4/1/2010 12:00:00 AM","10/1/2016 5:00:00 AM","",NA
"The Skull Man","5/5/2007 12:00:00 AM","10/1/2016 5:00:00 AM","",NA
"Softenni!","4/7/2011 12:00:00 AM","10/1/2016 5:00:00 AM","","Exclusive"
"Sorcerous Stabber Orphen","10/3/1998 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"Sorcerous Stabber Orphen: Revenge","10/3/1998 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"Space Runaway Ideon","5/8/1980 12:00:00 AM","11/9/2017 6:00:00 PM","","Exclusive"
"Special A","4/6/2008 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"Squid Girl","10/4/2010 12:00:00 AM","11/16/2017 6:00:00 PM","","Dubbed"
"Squid Girl 2","9/26/2011 12:00:00 AM","12/15/2017 6:00:00 AM","","Dubbed"
"Stella Women's Academy High School Division Class C3","7/4/2013 12:00:00 AM","10/1/2016 5:00:00 AM","",NA
"Strawberry Marshmallow","7/14/2005 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"Student Council's Discretion","10/2/2009 12:00:00 AM","3/31/2015 5:00:00 AM","",NA
"Sunday Without God","7/7/2013 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"Sword Art Online Alicization War of Underworld","10/5/2019 12:00:00 AM","10/11/2019 5:00:00 PM","",NA
"Sword Art Online Alicization","10/6/2018 12:00:00 AM","11/6/2019 5:00:00 PM","",NA
"Sword Oratoria: Is it Wrong to Try to Pick Up Girls in a Dungeon? On the Side","4/15/2017 12:00:00 AM","4/1/2017 12:00:00 AM","","Dubbed"
"Tada Never Falls in Love","4/5/2018 12:00:00 AM","4/1/2018 5:00:00 AM","","Dubbed"
"Taisho Baseball Girls","7/2/2009 12:00:00 AM","10/1/2016 5:00:00 AM","",NA
"Takunomi","1/12/2018 12:00:00 AM","1/4/2018 7:00:00 PM","","Dubbed"
"Tamako Market","1/10/2013 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"Tanaka-kun is Always Listless","4/9/2016 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"Tari Tari","7/1/2012 12:00:00 AM","10/1/2016 5:00:00 AM","",NA
"Tayutama ~ Kiss on My Deity","4/5/2009 12:00:00 AM","10/1/2016 5:00:00 AM","",NA
"Tears to Tiara","4/5/2009 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"Teasing Master Takagi-san3","1/7/2022 12:00:00 AM","12/28/2021 2:00:00 PM","","Exclusive"
"This Art Club Has a Problem!","7/8/2016 12:00:00 AM","8/27/2019 5:00:00 PM","",NA
"The Thousand Musketeers","7/3/2018 12:00:00 AM","7/3/2018 12:00:00 AM","","Exclusive"
"To Heart 2","10/3/2015 12:00:00 AM","11/22/2017 6:00:00 AM","",NA
"To Love Ru","4/3/2008 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"To Love Ru Darkness","10/5/2012 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"To loveru Darkness 2","7/6/2015 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"Tokyo Magnitude 8.0","7/9/2009 12:00:00 AM","3/1/2018 4:00:00 PM","","Dubbed"
"Trinity Seven","10/7/2014 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"Try Knights","7/31/2019 12:00:00 AM","2/20/2020 4:00:00 PM","",NA
"Tsukipro The Animation","10/4/2017 12:00:00 AM","9/6/2021 1:00:00 PM","",NA
"Tsukipro The Animation 2","7/7/2021 12:00:00 AM","6/30/2021 1:00:00 PM","","New Release"
"Tsurune","10/21/2018 12:00:00 AM","11/18/2018 5:00:00 PM","","Dubbed"
"Undefeated Bahamut Chronicle","1/11/2016 12:00:00 AM","10/1/2015 5:00:00 AM","",NA
"UQ HOLDER!","10/2/2017 12:00:00 AM","9/25/2017 7:15:00 PM","","Dubbed"
"Urara Meirocho","1/6/2017 12:00:00 AM","1/7/2017 6:00:00 AM","",NA
"Ushio & Tora","7/3/2015 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"Utano Prince Sama 1000%","7/3/2011 12:00:00 AM","10/1/2016 5:00:00 AM","",NA
"Utano Prince Sama 2000%","4/4/2013 12:00:00 AM","10/1/2016 5:00:00 AM","",NA
"Utano Princesama Legend Star","10/1/2016 12:00:00 AM","10/1/2016 12:00:00 AM","",NA
"Utawarerumono -The False Faces-","10/4/2015 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"Val x Love","10/5/2019 12:00:00 AM","9/30/2019 5:00:00 PM","",NA
"Vatican Miracle Examiner","7/7/2017 12:00:00 AM","6/30/2017 5:00:00 PM","",NA
"Waccha PriMagi!","10/3/2021 12:00:00 AM","9/27/2021 1:00:00 PM","4/24/2022 2:00:00 AM","E27 In 4 Days"
"Waiting in the Summer","1/10/2012 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"Wakaba Girl","7/3/2015 12:00:00 AM","10/1/2016 5:00:00 AM","",NA
"Wake Up, Girls!","1/10/2014 12:00:00 AM","10/1/2016 5:00:00 AM","",NA
"Wandaba Style","4/5/2003 12:00:00 AM","5/15/2019 5:00:00 PM","","Dubbed"
"Wasteful Days of High School Girls","7/5/2019 12:00:00 AM","7/1/2019 5:00:00 PM","","Dubbed"
"WATAMOTE: No Matter How I Look At It, It's You Guys' Fault I'm Not Popular!","7/8/2013 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"We Never Learn!: BOKUBEN","4/6/2019 12:00:00 AM","11/6/2019 5:00:00 PM","",NA
"We Never Learn!: BOKUBEN Season 2!","10/5/2019 12:00:00 AM","10/4/2019 5:00:00 PM","",NA
"We Rent Tsukumogami","7/22/2018 12:00:00 AM","2/17/2020 5:00:00 PM","",NA
"When Supernatural Battles Became Commonplace","10/6/2014 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"When They Cry","4/5/2006 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"When They Cry Kai","7/5/2007 12:00:00 AM","10/1/2016 5:00:00 AM","",NA
"Why the Hell are You Here, Teacher!?","4/7/2019 12:00:00 AM","4/1/2019 5:00:00 PM","","Dubbed"
"The World God Only Knows","10/6/2010 12:00:00 AM","1/24/2012 12:00:00 AM","","Dubbed"
"The World God Only Knows II","4/11/2011 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"W'Z","1/5/2019 12:00:00 AM","1/3/2019 6:00:00 PM","",NA
"Ya Boy Kongming!","3/31/2022 12:00:00 AM","3/23/2022 1:00:00 PM","4/21/2022 2:00:00 PM","Tomorrow"
"Yamishibai: Japanese Ghost Stories","7/14/2013 12:00:00 AM","10/20/2016 12:00:00 AM","",NA
"Yamishibai: Japanese Ghost Stories S2","7/9/2014 12:00:00 AM","10/1/2016 5:00:00 AM","",NA
"Young Black Jack","10/2/2015 12:00:00 AM","10/1/2016 5:00:00 AM","",NA
"You're Under Arrest","9/24/1994 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"You're Under Arrest: Fast and Furious","4/7/2001 12:00:00 AM","7/31/2019 5:00:00 PM","",NA
"You're Under Arrest: Full Throttle","10/4/2007 12:00:00 AM","7/31/2019 5:00:00 PM","",NA
"Yozakura Quartet","10/2/2008 12:00:00 AM","3/14/2018 10:00:00 PM","",NA
"Yuki Yuna is a Hero","10/17/2014 12:00:00 AM","10/8/2021 1:00:00 PM","","Dubbed"
"Yuki Yuna is a Hero: The Hero Chapter","11/25/2017 12:00:00 AM","10/15/2021 1:00:00 PM","",NA
"Yuki Yuna is a Hero: The Washio Sumi Chapter","10/7/2017 12:00:00 AM","10/15/2021 1:00:00 PM","",NA
"Yuki Yuna Is a Hero: Great Mankai Chapter","10/1/2021 12:00:00 AM","9/24/2021 1:00:00 PM","","Exclusive"
"Yumeiro Patissiere","10/4/2009 12:00:00 AM","10/21/2019 5:00:00 PM","",NA
"Yumeiro Patissiere SP Professional","10/3/2010 12:00:00 AM","1/14/2020 3:00:00 PM","",NA
"Yuyushiki","4/9/2013 12:00:00 AM","10/1/2016 5:00:00 AM","",NA
"Z/X: Code Reunion","10/8/2019 12:00:00 AM","10/3/2019 5:00:00 PM","",NA
