"anime_title","anime_premiere","anime_release","anime_nextair","anime_badge"
"Girls und Panzer","10/9/2012 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"Glass Mask","4/5/2005 12:00:00 AM","7/15/2019 4:00:00 PM","",NA
"Glass Mask 1984","4/9/1984 12:00:00 AM","5/1/2018 5:00:00 AM","",NA
"GODANNAR","10/1/2003 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"Golden Time","10/3/2013 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"Golgo 13","4/11/2008 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"The Good Witch of the West","4/7/2006 12:00:00 AM","5/22/2017 5:00:00 AM","",NA
"Gourmet Girl Graffiti","1/9/2015 12:00:00 AM","10/1/2016 5:00:00 AM","",NA
"Granblue Fantasy: The Animation Season 2","10/4/2019 12:00:00 AM","10/4/2019 2:00:00 PM","",NA
"Grimms Notes the Animation","1/11/2019 12:00:00 AM","1/26/2019 6:00:00 PM","",NA
"Grimoire of Zero","4/10/2017 12:00:00 AM","4/1/2017 12:00:00 AM","","Dubbed"
"Gugure! Kokkuri-san","10/5/2014 12:00:00 AM","10/1/2016 5:00:00 AM","",NA
"Gunparade March","2/6/2003 12:00:00 AM","11/2/2018 5:00:00 AM","","Dubbed"
"Haikyu!! 3rd Season","10/7/2016 12:00:00 AM","10/27/2016 5:00:00 AM","","Dubbed"
"Hakkenden: Eight Dogs of the East","1/5/2013 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"Hakkenden: Eight Dogs of the East Season 2","7/7/2013 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"Hakumei and Mikochi","1/12/2018 12:00:00 AM","1/4/2018 7:00:00 PM","","Dubbed"
"Hanaukyo Maid Team: La Verite","4/4/2004 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"Hanayamata","7/8/2014 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"Hareluya II Boy","4/8/1997 12:00:00 AM","11/24/2021 2:00:00 PM","4/21/2022 5:00:00 PM","Tomorrow"
"Hataraki Man","10/13/2006 12:00:00 AM","3/6/2019 5:00:00 PM","","Exclusive"
"Hatenkou Yugi","1/4/2008 12:00:00 AM","10/20/2016 12:00:00 AM","",NA
"Hatsukoi Limited","4/11/2009 12:00:00 AM","10/1/2016 5:00:00 AM","",NA
"Haven’t You Heard? I’m Sakamoto","4/8/2016 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"Hayate the Combat Butler","4/1/2007 12:00:00 AM","10/1/2016 5:00:00 AM","",NA
"Hayate the Combat Butler 2nd Season","4/3/2009 12:00:00 AM","10/1/2016 5:00:00 AM","",NA
"Hayate the Combat Butler! Can't Take My Eyes Off You","4/5/2011 12:00:00 AM","10/1/2016 5:00:00 AM","",NA
"Hayate the Combat Butler: Cuties","4/8/2013 12:00:00 AM","10/1/2016 5:00:00 AM","",NA
"He is My Master","4/7/2005 12:00:00 AM","10/1/2016 5:00:00 AM","",NA
"Heaven's Memo Pad","7/2/2011 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"Hello Kitty & Friends - Let's Learn Together","1/1/2017 12:00:00 AM","12/19/2019 1:00:00 PM","","Dubbed"
"Hentai Prince & the Stony Cat","4/13/2013 12:00:00 AM","10/1/2016 5:00:00 AM","",NA
"Hidamari Sketch","1/11/2007 12:00:00 AM","10/1/2016 5:00:00 AM","",NA
"Hidamari Sketch Hoshimittsu","1/7/2010 12:00:00 AM","10/1/2016 5:00:00 AM","",NA
"Hidamari Sketch x 365","7/3/2008 12:00:00 AM","10/1/2016 5:00:00 AM","",NA
"Hidamari Sketch x Honeycomb","10/4/2012 12:00:00 AM","10/1/2016 5:00:00 AM","",NA
"High School of the Dead","7/5/2010 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"Hiiro no Kakera ~ The Tamayori Princess Saga","3/5/2012 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"Hiiro no Kakera ~ The Tamayori Princess Saga 2","9/30/2012 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"Himouto! Umaru-chan","7/8/2015 12:00:00 AM","7/8/2015 12:00:00 AM","","Dubbed"
"Himouto! Umaru-chan R","10/8/2017 12:00:00 AM","10/6/2017 4:00:00 PM","",NA
"Hitorijime My Hero","7/8/2017 12:00:00 AM","6/30/2017 5:00:00 PM","","Dubbed"
"Horizon in the Middle of Nowhere","10/1/2011 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"Horizon In The Middle Of Nowhere II","7/7/2012 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"How Clumsy you are, Miss Ueno.","1/6/2019 12:00:00 AM","1/3/2019 6:00:00 PM","","Dubbed"
"Hozuki's Coolheadedness","1/10/2014 12:00:00 AM","10/1/2016 5:00:00 AM","",NA
"Hozuki's Coolheadedness 2","10/7/2017 12:00:00 AM","10/5/2017 10:00:00 PM","","Exclusive"
